 Value of m    Value of n  Wavelength in Å
        30        10     102577.500
        30        11     127464.727
        30        12     156308.562
        30        13     189719.250
        30        14     228468.078
        30        15     273540.000
        30        16     326209.188
        30        17     388149.219
        30        18     461598.750
        30        19     549617.500
        30        20     656496.000
        30        21     788438.812
        30        22     954759.938
        30        23    1170102.375
        30        24    1458880.000
        30        25    1865045.625
        30        26    2476514.000
        30        27    3498433.000
        30        28    5546261.000
        30        29   11697319.000
        31         1        912.750
        31         2       3662.444
        31         3       8283.779
        31         4      14835.806
        31         5      23403.840
        31         6      34102.305
        31         7      47078.676
        31         8      62518.781
        31         9      80653.891
        31        10     101770.008
        31        11     126220.258
        31        12     154441.297
        31        13     186975.406
        31        14     224500.672
        31        15     267872.219
        31        16     318180.688
        31        17     376835.250
        31        18     445685.562
        31        19     527204.312
        31        20     624769.938
        31        21     743118.750
        31        22     889098.750
        31        23    1072988.125
        31        24    1310945.875
        31        25    1629910.625
        31        26    2078379.500
        31        27    2753357.250
        31        28    3881199.000
        31        29    6140983.500
        31        30   12928133.000
        32         1        912.691
        32         2       3661.503
        32         3       8278.964
        32         4      14820.368
        32         5      23365.445
        32         6      34020.844
        32         7      46923.566
        32         8      62245.547
        32         9      80199.719
        32        10     101047.969
        32        11     125111.484
        32        12     152784.516
        32        13     184552.578
        32        14     221016.797
        32        15     262927.062
        32        16     311227.719
        32        17     367121.688
        32        18     432161.938
        32        19     508385.594
        32        20     598514.875
        32        21     706268.062
        32        22     836856.875
        32        23     997814.938
        32        24    1200449.750
        32        25    1462536.375
        32        26    1813706.375
        32        27    2307305.250
        32        28    3050032.000
        32        29    4290861.500
        32        30    6776731.500
        32        31   14242362.000
        33         1        912.638
        33         2       3660.646
        33         3       8274.585
        33         4      14806.340
        33         5      23330.596
        33         6      33947.016
        33         7      46783.230
        33         8      61998.840
        33         9      79790.641
        33        10     100399.414
        33        11     124118.781
        33        12     151306.703
        33        13     182400.641
        33        14     217937.562
        33        15     258580.766
        33        16     305156.344
        33        17     358703.219
        33        18     420543.594
        33        19     492383.281
        33        20     576458.750
        33        21     675757.688
        33        22     794360.188
        33        23     937983.250
        33        24    1114891.375
        33        25    1337486.875
        33        26    1625264.625
        33        27    2010724.125
        33        28    2552370.500
        33        29    3367222.250
        33        30    4728333.500
        33        31    7454880.500
        33        32   15642783.000
        34         1        912.589
        34         2       3659.864
